SUBJECT,PREHEADER,CLICKS_TO_KICKS,performance,CTR,CLICKS,OPENS,DELIVERIES,SPAMS,UNSUBS,KICKS,subject_length,length_category,reward_amount,negative_count,positive_count,has_closing_soon,has_treatment,has_cancer,has_colon,has_ampersand,has_metabolic,is_oncology,recommendations
Medications for weight management and Other Survey Opportunities,Earn up to $90.00 Today via Rewards Card,215.0,🌟 Excellent (≥40),0.2004,215,751,1073,0,1,1,64,Long (61-75),90.0,0,3,0,0,0,0,0,1,0,✅ ADD ampersand (&) between topics (+103% impact)
Pediatric patients with nighttime bedwetting and Other Survey Opportunities,Earn up to $60.00 Today via Rewards Card,188.0,🌟 Excellent (≥40),0.3387,188,413,555,0,1,1,75,Long (61-75),60.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 75)
Aesthetic Products & Procedures and Other Survey Opportunities,Earn up to $120.00 Today via Rewards Card,145.0,🌟 Excellent (≥40),0.2189,290,1030,1325,0,2,2,62,Long (61-75),120.0,0,1,0,0,0,0,1,0,0,💡 Consider adding metabolic topics when available (+109% impact)
weight management and T2D and Other Survey Opportunities,Earn up to $90.00 Today via Rewards Card,122.33,🌟 Excellent (≥40),0.2955,367,981,1242,0,3,3,56,Optimal (51-60),90.0,0,2,0,0,0,0,0,1,0,✅ ADD ampersand (&) between topics (+103% impact)
Neurodevelopmental Disorders and Other Survey Opportunities,Earn up to $40.00 Today via Rewards Card,113.0,🌟 Excellent (≥40),0.1834,113,382,616,0,1,1,59,Optimal (51-60),40.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Lymphoma Study and Other Survey Opportunities,Earn up to $115.00 Today via Rewards Card,107.0,🌟 Excellent (≥40),0.0248,107,1979,4323,0,1,1,45,Short (≤50),115.0,0,0,0,0,0,0,0,0,1,✅ ADD ampersand (&) between topics (+103% impact)
Aesthetic Products & Procedures and Other Survey Opportunities,Earn up to $195.00 Today via Rewards Card,106.0,🌟 Excellent (≥40),0.1301,106,583,815,0,1,1,62,Long (61-75),195.0,0,1,0,0,0,0,1,0,0,💡 Consider adding metabolic topics when available (+109% impact) | 💰 LOWER reward to $60-90 range (currently $195)
New InCrowd MicroSurvey and Other Survey Opportunities,Earn up to $150.00 Today via Rewards Card,106.0,🌟 Excellent (≥40),0.0522,106,1083,2032,0,1,1,54,Optimal (51-60),150.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 💰 LOWER reward to $60-90 range (currently $150)
Aesthetic Products & Procedures and Other Survey Opportunities,Earn up to $80.00 Today via Rewards Card,102.67,🌟 Excellent (≥40),0.1892,308,1237,1628,0,3,3,62,Long (61-75),80.0,0,1,0,0,0,0,1,0,0,💡 Consider adding metabolic topics when available (+109% impact)
Multiple Myeloma and Other Survey Opportunities,Earn up to $190.00 Today via Rewards Card,102.0,🌟 Excellent (≥40),0.1491,102,460,684,0,1,1,47,Short (≤50),190.0,0,0,0,0,0,0,0,0,1,✅ ADD ampersand (&) between topics (+103% impact) | 💰 LOWER reward to $60-90 range (currently $190)
